yourlist:M201909045C475328CEF75220C360D524E9D456CE3FF4D7X	Entry	Entry name	Protein names	Gene names	Organism	Taxonomic lineage (ORDER)
WP_000083855.1	A0A0B5N8W5	A0A0B5N8W5_BACTU	Uncharacterized protein	BF38_6070 FBF59_32130	Bacillus thuringiensis	Bacillales
WP_000083855.1	A0A0Q9GBX4	A0A0Q9GBX4_9BACI	Uncharacterized protein	ASE54_17955	Bacillus sp. Root131	Bacillales
WP_000083855.1	A0A160LJZ8	A0A160LJZ8_BACTI	Uncharacterized protein	ATN07_31240	Bacillus thuringiensis subsp. israelensis	Bacillales
WP_000083855.1	A0A242YKJ5	A0A242YKJ5_BACTU	Uncharacterized protein	BK719_02070	Bacillus thuringiensis serovar novosibirsk	Bacillales
WP_000083855.1	A0A369D2K2	A0A369D2K2_9BACI	Uncharacterized protein	DEU45_10546	Bacillus sp. AG102	Bacillales
WP_000083855.1	C3GT73	C3GT73_BACTU	Uncharacterized protein	bthur0010_54880	Bacillus thuringiensis serovar pondicheriensis BGSC 4BA1	Bacillales
WP_057187516.1	A0A0Q9G2Q5	A0A0Q9G2Q5_9BACI	HNH endonuclease	ASE54_17280	Bacillus sp. Root131	Bacillales
WP_057187516.1	A0A369D250	A0A369D250_9BACI	5-methylcytosine-specific restriction protein A	DEU45_105185	Bacillus sp. AG102	Bacillales
WP_003299268.1	A0A0B5NJW8	A0A0B5NJW8_BACTU	HNH endonuclease (HNH endonuclease family protein)	BF38_5752 FBF59_31455	Bacillus thuringiensis	Bacillales
WP_003299268.1	A0A160LIW5	A0A160LIW5_BACTI	HNH endonuclease	ATN07_30565	Bacillus thuringiensis subsp. israelensis	Bacillales
WP_003299268.1	A0A242YLB7	A0A242YLB7_BACTU	HNH endonuclease	BK719_01395	Bacillus thuringiensis serovar novosibirsk	Bacillales
WP_003299268.1	C3GU40	C3GU40_BACTU	HNH endonuclease	bthur0010_58420	Bacillus thuringiensis serovar pondicheriensis BGSC 4BA1	Bacillales
WP_003299227.1	C3GU85	C3GU85_BACTU	Replicative DNA helicase	bthur0010_57760	Bacillus thuringiensis serovar pondicheriensis BGSC 4BA1	Bacillales
XP_003060637.1	C1MX64	C1MX64_MICPC	Predicted protein	MICPUCDRAFT_60044	Micromonas pusilla (strain CCMP1545) (Picoplanktonic green alga)	Mamiellales
WP_011114893.1	Q7VK42	Q7VK42_HELHP	ANK_REP_REGION domain-containing protein	HH_0050	Helicobacter hepaticus (strain ATCC 51449 / 3B1)	Campylobacterales
WP_069663915.1	A0A1E5GJ50	A0A1E5GJ50_9ENTE	Uncharacterized protein	BCR25_19650	Enterococcus termitis	Lactobacillales
WP_044825263.1	A0A0D8I8M7	A0A0D8I8M7_9CLOT	Uncharacterized protein	CACET_c27980	Clostridium aceticum	Clostridiales
YP_009282990.1	A0A172JHZ1	A0A172JHZ1_9CAUD	UvsX-like recombinase	AR9_g086	Bacillus phage AR9	Caudovirales
WP_052377506.1	A0A080N6L5	A0A080N6L5_9BIFI	Putative lipoprotein	BBOMB_1108	Bifidobacterium bombi DSM 19703	Bifidobacteriales
WP_007174630.1	D1PTJ6	D1PTJ6_9BACT	Bacterial surface protein 26-residue PARCEL repeat (3 repeats)	HMPREF0645_0281	Prevotella bergensis DSM 17361	Bacteroidales
WP_051506395.1	A0A011VWP4	A0A011VWP4_RUMAL	Fibronectin type-III domain-containing protein	RASY3_07585	Ruminococcus albus SY3	Clostridiales
WP_013483391.1	E6UJJ5	E6UJJ5_RUMA7	Lipoprotein	Rumal_3382	Ruminococcus albus (strain ATCC 27210 / DSM 20455 / JCM 14654 / NCDO 2250 / 7)	Clostridiales
YP_009283137.1	A0A172JIE7	A0A172JIE7_9CAUD	Endonuclease fused to N-terminal Zn finger domain	AR9_g233	Bacillus phage AR9	Caudovirales
YP_009284233.1	A0A159B7B6	A0A159B7B6_9CAUD	Putative intron-associated endonuclease 3	HY03_0261	Escherichia phage HY03	Caudovirales
YP_009277600.1	A0A193GZU4	A0A193GZU4_9CAUD	Homing endonuclease		Shigella phage SHFML-11	Caudovirales
YP_009098611.1	A0A097J1A3	A0A097J1A3_BPR03	Homing endonuclease	I-TevIII RB3_225	Enterobacteria phage RB3 (Bacteriophage RB3)	Caudovirales
YP_009098611.1	Q38419	TEV3_BPR03	Intron-associated endonuclease 3 (EC 3.1.-.-) (I-TevIII)	ITEVIIIR	Enterobacteria phage RB3 (Bacteriophage RB3)	Caudovirales
YP_007004219.1	G3MUM5	G3MUM5_9CAUD	I-TevIII	EpBp7_0178	Enterobacteria phage Bp7	Caudovirales
YP_007501259.1	M1EAS1	M1EAS1_9CAUD	HNHc domain-containing protein		Salmonella phage vB_SenMS16	Caudovirales
YP_009282912.1	A0A172JHR4	A0A172JHR4_9CAUD	DnaB-like replicative helicase	AR9_g007	Bacillus phage AR9	Caudovirales
WP_003254777.1	A0A0B5NK93	A0A0B5NK93_BACTU	Potassium transporter TrkH	BF38_5939 FBF59_30580	Bacillus thuringiensis	Bacillales
WP_003254777.1	A0A0Q9FZD0	A0A0Q9FZD0_9BACI	Potassium transporter TrkH	ASE54_16405	Bacillus sp. Root131	Bacillales
WP_003254777.1	A0A161JR17	A0A161JR17_BACTI	Potassium transporter TrkH	ATN07_31860	Bacillus thuringiensis subsp. israelensis	Bacillales
WP_003254777.1	A0A242YMH8	A0A242YMH8_BACTU	Potassium transporter TrkH	BK719_00520	Bacillus thuringiensis serovar novosibirsk	Bacillales
WP_003254777.1	A0A369CYD4	A0A369CYD4_9BACI	DNA polymerase-1	DEU45_105371	Bacillus sp. AG102	Bacillales
WP_003254777.1	C3GTM3	C3GTM3_BACTU	Potential 5'-3' exonuclease	bthur0010_56490	Bacillus thuringiensis serovar pondicheriensis BGSC 4BA1	Bacillales
WP_002892477.1	J7TMN1	J7TMN1_STRSL	Uncharacterized protein	RSSL_00113	Streptococcus salivarius K12	Lactobacillales
WP_070578309.1	A0A1F1NBV7	A0A1F1NBV7_9STRE	Uncharacterized protein	HMPREF2877_09850	Streptococcus sp. HMSC072D03	Lactobacillales
YP_009153409.1	G5DEK8	G5DEK8_9CAUD	Uncharacterized protein	SPN3US_0115	Salmonella phage SPN3US	Caudovirales
YP_007237688.1	J7KHB8	J7KHB8_9CAUD	Uncharacterized protein		Erwinia phage phiEaH2	Caudovirales
YP_009290748.1	A0A1B2IA39	A0A1B2IA39_9CAUD	Uncharacterized protein	ASESINO_130	Erwinia phage vB_EamM_Asesino	Caudovirales
YP_009290732.1	A0A1B2IA31	A0A1B2IA31_9CAUD	Uncharacterized protein	ASESINO_114	Erwinia phage vB_EamM_Asesino	Caudovirales
YP_007237672.1	J7KJB2	J7KJB2_9CAUD	Uncharacterized protein		Erwinia phage phiEaH2	Caudovirales
YP_009153388.1	G5DEI7	G5DEI7_9CAUD	Uncharacterized protein	SPN3US_0094	Salmonella phage SPN3US	Caudovirales
YP_007237669.1	J7KDW2	J7KDW2_9CAUD	Uncharacterized protein		Erwinia phage phiEaH2	Caudovirales
YP_009290728.1	A0A1B2IA20	A0A1B2IA20_9CAUD	Uncharacterized protein	ASESINO_110	Erwinia phage vB_EamM_Asesino	Caudovirales
YP_009278719.1	A0A1B2IDV7	A0A1B2IDV7_9CAUD	Uncharacterized protein	KWAN_114	Erwinia phage vB_EamM_Kwan	Caudovirales
YP_009293075.1	A0A1B2ID54	A0A1B2ID54_9CAUD	Uncharacterized protein	HUXLEY_107	Erwinia phage vB_EamM_Huxley	Caudovirales
YP_009278408.1	A0A1B2ICK7	A0A1B2ICK7_9CAUD	Uncharacterized protein	EARLPHILLIPIV_96	Erwinia phage vB_EamM_EarlPhillipIV	Caudovirales
YP_009292797.1	A0A1B2IBL7	A0A1B2IBL7_9CAUD	Uncharacterized protein	CHRISDB_108	Erwinia phage vB_EamM_ChrisDB	Caudovirales
YP_008125833.1	R4IFD3	R4IFD3_9CAUD	Uncharacterized protein	CR5_093	Cronobacter phage CR5	Caudovirales
YP_009290722.1	A0A1B2IA13	A0A1B2IA13_9CAUD	Putative acetyltransferase	ASESINO_104	Erwinia phage vB_EamM_Asesino	Caudovirales
YP_009153377.1	G5DEH6	G5DEH6_9CAUD	Uncharacterized protein	SPN3US_0083	Salmonella phage SPN3US	Caudovirales
YP_007237657.1	J7KJA0	J7KJA0_9CAUD	Uncharacterized protein		Erwinia phage phiEaH2	Caudovirales
YP_009290717.1	A0A1B2IA40	A0A1B2IA40_9CAUD	Uncharacterized protein	ASESINO_99	Erwinia phage vB_EamM_Asesino	Caudovirales
YP_009290711.1	A0A1B2IA43	A0A1B2IA43_9CAUD	Uncharacterized protein	ASESINO_93	Erwinia phage vB_EamM_Asesino	Caudovirales
YP_007237651.1	J7KHS8	J7KHS8_9CAUD	Uncharacterized protein		Erwinia phage phiEaH2	Caudovirales
YP_009293057.1	A0A1B2ID40	A0A1B2ID40_9CAUD	Uncharacterized protein	HUXLEY_89	Erwinia phage vB_EamM_Huxley	Caudovirales
YP_009292157.1	A0A1B2IAS1	A0A1B2IAS1_9CAUD	Uncharacterized protein	CAITLIN_84	Erwinia phage vB_EamM_Caitlin	Caudovirales
YP_009278697.1	A0A1B2IDZ6	A0A1B2IDZ6_9CAUD	Uncharacterized protein	KWAN_92	Erwinia phage vB_EamM_Kwan	Caudovirales
YP_009292779.1	A0A1B2IBP0	A0A1B2IBP0_9CAUD	Uncharacterized protein	CHRISDB_90	Erwinia phage vB_EamM_ChrisDB	Caudovirales
YP_009290708.1	A0A1B2I9Z2	A0A1B2I9Z2_9CAUD	Uncharacterized protein	ASESINO_90	Erwinia phage vB_EamM_Asesino	Caudovirales
YP_007237909.1	J7KEB4	J7KEB4_9CAUD	Uncharacterized protein		Erwinia phage phiEaH2	Caudovirales
YP_009292154.1	A0A1B2IAV7	A0A1B2IAV7_9CAUD	Uncharacterized protein	CAITLIN_81	Erwinia phage vB_EamM_Caitlin	Caudovirales
YP_009292776.1	A0A1B2IBJ4	A0A1B2IBJ4_9CAUD	Uncharacterized protein	CHRISDB_87	Erwinia phage vB_EamM_ChrisDB	Caudovirales
YP_009293054.1	A0A1B2ID33	A0A1B2ID33_9CAUD	Uncharacterized protein	HUXLEY_86	Erwinia phage vB_EamM_Huxley	Caudovirales
YP_009278692.1	A0A1B2IDV8	A0A1B2IDV8_9CAUD	Uncharacterized protein	KWAN_87	Erwinia phage vB_EamM_Kwan	Caudovirales
YP_007237899.1	J7KEA5	J7KEA5_9CAUD	Uncharacterized protein		Erwinia phage phiEaH2	Caudovirales
YP_009290700.1	A0A1B2IA46	A0A1B2IA46_9CAUD	Uncharacterized protein	ASESINO_82	Erwinia phage vB_EamM_Asesino	Caudovirales
YP_009293047.1	A0A1B2ID34	A0A1B2ID34_9CAUD	Uncharacterized protein	HUXLEY_79	Erwinia phage vB_EamM_Huxley	Caudovirales
YP_009278683.1	A0A1B2IDS1	A0A1B2IDS1_9CAUD	Uncharacterized protein	KWAN_78	Erwinia phage vB_EamM_Kwan	Caudovirales
YP_009292768.1	A0A1B2IBL4	A0A1B2IBL4_9CAUD	Uncharacterized protein	CHRISDB_79	Erwinia phage vB_EamM_ChrisDB	Caudovirales
YP_009292146.1	A0A1B2IAS8	A0A1B2IAS8_9CAUD	Uncharacterized protein	CAITLIN_73	Erwinia phage vB_EamM_Caitlin	Caudovirales
YP_007237897.1	J7KJR9	J7KJR9_9CAUD	Uncharacterized protein		Erwinia phage phiEaH2	Caudovirales
YP_009290698.1	A0A1B2I9Y2	A0A1B2I9Y2_9CAUD	Uncharacterized protein	ASESINO_80	Erwinia phage vB_EamM_Asesino	Caudovirales
YP_009293045.1	A0A1B2ID24	A0A1B2ID24_9CAUD	Uncharacterized protein	HUXLEY_77	Erwinia phage vB_EamM_Huxley	Caudovirales
YP_009292766.1	A0A1B2IBI4	A0A1B2IBI4_9CAUD	Uncharacterized protein	CHRISDB_77	Erwinia phage vB_EamM_ChrisDB	Caudovirales
YP_009292144.1	A0A1B2IAU8	A0A1B2IAU8_9CAUD	Uncharacterized protein	CAITLIN_71	Erwinia phage vB_EamM_Caitlin	Caudovirales
YP_009283553.1	A0A1B2IGA2	A0A1B2IGA2_9CAUD	Uncharacterized protein	PHOBOS_64	Erwinia phage vB_EamM_Phobos	Caudovirales
YP_009278681.1	A0A1B2IDU3	A0A1B2IDU3_9CAUD	Uncharacterized protein	KWAN_76	Erwinia phage vB_EamM_Kwan	Caudovirales
YP_008125801.1	R4IGN8	R4IGN8_9CAUD	Uncharacterized protein	CR5_061	Cronobacter phage CR5	Caudovirales
YP_009278374.1	A0A1B2ICF4	A0A1B2ICF4_9CAUD	Uncharacterized protein	EARLPHILLIPIV_62	Erwinia phage vB_EamM_EarlPhillipIV	Caudovirales
YP_009153348.1	G5DEE7	G5DEE7_9CAUD	Uncharacterized protein	SPN3US_0054	Salmonella phage SPN3US	Caudovirales
YP_009290689.1	A0A1B2IA24	A0A1B2IA24_9CAUD	Uncharacterized protein	ASESINO_71	Erwinia phage vB_EamM_Asesino	Caudovirales
YP_007237888.1	J7KHQ7	J7KHQ7_9CAUD	Uncharacterized protein		Erwinia phage phiEaH2	Caudovirales
YP_009292759.1	A0A1B2IBM4	A0A1B2IBM4_9CAUD	Uncharacterized protein	CHRISDB_70	Erwinia phage vB_EamM_ChrisDB	Caudovirales
YP_009278673.1	A0A1B2IDR5	A0A1B2IDR5_9CAUD	Uncharacterized protein	KWAN_68	Erwinia phage vB_EamM_Kwan	Caudovirales
YP_009292137.1	A0A1B2IAQ3	A0A1B2IAQ3_9CAUD	Uncharacterized protein	CAITLIN_64	Erwinia phage vB_EamM_Caitlin	Caudovirales
YP_009293039.1	A0A1B2ID03	A0A1B2ID03_9CAUD	Uncharacterized protein	HUXLEY_71	Erwinia phage vB_EamM_Huxley	Caudovirales
YP_009278368.1	A0A1B2ICA9	A0A1B2ICA9_9CAUD	Uncharacterized protein	EARLPHILLIPIV_56	Erwinia phage vB_EamM_EarlPhillipIV	Caudovirales
YP_008125795.1	R4IFP8	R4IFP8_9CAUD	Uncharacterized protein	CR5_055	Cronobacter phage CR5	Caudovirales
YP_009283546.1	A0A1B2IG36	A0A1B2IG36_9CAUD	Uncharacterized protein	PHOBOS_57	Erwinia phage vB_EamM_Phobos	Caudovirales
YP_009290688.1	A0A1B2I9X3	A0A1B2I9X3_9CAUD	Uncharacterized protein	ASESINO_70	Erwinia phage vB_EamM_Asesino	Caudovirales
YP_007237887.1	J7KJR2	J7KJR2_9CAUD	Uncharacterized protein		Erwinia phage phiEaH2	Caudovirales
YP_009292758.1	A0A1B2IBK2	A0A1B2IBK2_9CAUD	Uncharacterized protein	CHRISDB_69	Erwinia phage vB_EamM_ChrisDB	Caudovirales
YP_009293038.1	A0A1B2ID47	A0A1B2ID47_9CAUD	Uncharacterized protein	HUXLEY_70	Erwinia phage vB_EamM_Huxley	Caudovirales
YP_009292136.1	A0A1B2IAR7	A0A1B2IAR7_9CAUD	Uncharacterized protein	CAITLIN_63	Erwinia phage vB_EamM_Caitlin	Caudovirales
YP_009278672.1	A0A1B2IDT8	A0A1B2IDT8_9CAUD	Uncharacterized protein	KWAN_67	Erwinia phage vB_EamM_Kwan	Caudovirales
YP_008125794.1	R4II02	R4II02_9CAUD	Uncharacterized protein	CR5_054	Cronobacter phage CR5	Caudovirales
YP_009278367.1	A0A1B2ICG5	A0A1B2ICG5_9CAUD	Uncharacterized protein	EARLPHILLIPIV_55	Erwinia phage vB_EamM_EarlPhillipIV	Caudovirales
YP_009283545.1	A0A1B2IG52	A0A1B2IG52_9CAUD	Uncharacterized protein	PHOBOS_56	Erwinia phage vB_EamM_Phobos	Caudovirales
YP_009290687.1	A0A1B2IA05	A0A1B2IA05_9CAUD	Uncharacterized protein	ASESINO_69	Erwinia phage vB_EamM_Asesino	Caudovirales
YP_007237886.1	J7KCI5	J7KCI5_9CAUD	Uncharacterized protein		Erwinia phage phiEaH2	Caudovirales
YP_009293037.1	A0A1B2ID21	A0A1B2ID21_9CAUD	Uncharacterized protein	HUXLEY_69	Erwinia phage vB_EamM_Huxley	Caudovirales
YP_009292135.1	A0A1B2IAR1	A0A1B2IAR1_9CAUD	Uncharacterized protein	CAITLIN_62	Erwinia phage vB_EamM_Caitlin	Caudovirales
YP_009292757.1	A0A1B2IBI1	A0A1B2IBI1_9CAUD	Uncharacterized protein	CHRISDB_68	Erwinia phage vB_EamM_ChrisDB	Caudovirales
YP_009278671.1	A0A1B2IDT4	A0A1B2IDT4_9CAUD	Uncharacterized protein	KWAN_66	Erwinia phage vB_EamM_Kwan	Caudovirales
YP_008125793.1	R4IFB1	R4IFB1_9CAUD	Uncharacterized protein	CR5_053	Cronobacter phage CR5	Caudovirales
YP_009283544.1	A0A1B2IGA4	A0A1B2IGA4_9CAUD	Uncharacterized protein	PHOBOS_55	Erwinia phage vB_EamM_Phobos	Caudovirales
YP_009278366.1	A0A1B2ICG4	A0A1B2ICG4_9CAUD	Uncharacterized protein	EARLPHILLIPIV_54	Erwinia phage vB_EamM_EarlPhillipIV	Caudovirales
YP_009153341.1	G5DEE0	G5DEE0_9CAUD	Uncharacterized protein	SPN3US_0047	Salmonella phage SPN3US	Caudovirales
YP_009290682.1	A0A1B2I9Y1	A0A1B2I9Y1_9CAUD	Uncharacterized protein	ASESINO_64	Erwinia phage vB_EamM_Asesino	Caudovirales
YP_007237881.1	J7KCI2	J7KCI2_9CAUD	Uncharacterized protein		Erwinia phage phiEaH2	Caudovirales
YP_009278666.1	A0A1B2IDS4	A0A1B2IDS4_9CAUD	Uncharacterized protein	KWAN_61	Erwinia phage vB_EamM_Kwan	Caudovirales
YP_009293032.1	A0A1B2ICZ8	A0A1B2ICZ8_9CAUD	Uncharacterized protein	HUXLEY_64	Erwinia phage vB_EamM_Huxley	Caudovirales
YP_007237880.1	J7KKV7	J7KKV7_9CAUD	Uncharacterized protein		Erwinia phage phiEaH2	Caudovirales
YP_009290681.1	A0A1B2IA19	A0A1B2IA19_9CAUD	Uncharacterized protein	ASESINO_63	Erwinia phage vB_EamM_Asesino	Caudovirales
YP_009290676.1	A0A1B2I9Z3	A0A1B2I9Z3_9CAUD	Uncharacterized protein	ASESINO_58	Erwinia phage vB_EamM_Asesino	Caudovirales
YP_007237874.1	J7KE86	J7KE86_9CAUD	Uncharacterized protein		Erwinia phage phiEaH2	Caudovirales
YP_009153335.1	G5DED4	G5DED4_9CAUD	Uncharacterized protein	SPN3US_0041	Salmonella phage SPN3US	Caudovirales
YP_009292746.1	A0A1B2IBG3	A0A1B2IBG3_9CAUD	Uncharacterized protein	CHRISDB_57	Erwinia phage vB_EamM_ChrisDB	Caudovirales
YP_009293026.1	A0A1B2ICX7	A0A1B2ICX7_9CAUD	Uncharacterized protein	HUXLEY_58	Erwinia phage vB_EamM_Huxley	Caudovirales
YP_009292124.1	A0A1B2IAS6	A0A1B2IAS6_9CAUD	Uncharacterized protein	CAITLIN_51	Erwinia phage vB_EamM_Caitlin	Caudovirales
YP_009278658.1	A0A1B2IDX5	A0A1B2IDX5_9CAUD	Uncharacterized protein	KWAN_53	Erwinia phage vB_EamM_Kwan	Caudovirales
YP_007237863.1	J7KHN8	J7KHN8_9CAUD	Uncharacterized protein		Erwinia phage phiEaH2	Caudovirales
YP_009290666.1	A0A1B2I9Y4	A0A1B2I9Y4_9CAUD	Uncharacterized protein	ASESINO_48	Erwinia phage vB_EamM_Asesino	Caudovirales
YP_009292736.1	A0A1B2IBF4	A0A1B2IBF4_9CAUD	Uncharacterized protein	CHRISDB_47	Erwinia phage vB_EamM_ChrisDB	Caudovirales
YP_009292114.1	A0A1B2IAR6	A0A1B2IAR6_9CAUD	Uncharacterized protein	CAITLIN_41	Erwinia phage vB_EamM_Caitlin	Caudovirales
YP_009293016.1	A0A1B2ICX4	A0A1B2ICX4_9CAUD	Uncharacterized protein	HUXLEY_48	Erwinia phage vB_EamM_Huxley	Caudovirales
YP_009278648.1	A0A1B2IDW6	A0A1B2IDW6_9CAUD	Uncharacterized protein	KWAN_43	Erwinia phage vB_EamM_Kwan	Caudovirales
YP_009283522.1	A0A1B2IG43	A0A1B2IG43_9CAUD	Uncharacterized protein	PHOBOS_33	Erwinia phage vB_EamM_Phobos	Caudovirales
YP_008125772.1	R4IFS6	R4IFS6_9CAUD	Uncharacterized protein	CR5_032	Cronobacter phage CR5	Caudovirales
YP_009278345.1	A0A1B2IC78	A0A1B2IC78_9CAUD	Uncharacterized protein	EARLPHILLIPIV_33	Erwinia phage vB_EamM_EarlPhillipIV	Caudovirales
YP_007237861.1	J7KCG7	J7KCG7_9CAUD	Uncharacterized protein		Erwinia phage phiEaH2	Caudovirales
YP_009290664.1	A0A1B2I9V9	A0A1B2I9V9_9CAUD	Uncharacterized protein	ASESINO_46	Erwinia phage vB_EamM_Asesino	Caudovirales
YP_009290661.1	A0A1B2I9Z9	A0A1B2I9Z9_9CAUD	Uncharacterized protein	ASESINO_43	Erwinia phage vB_EamM_Asesino	Caudovirales
YP_007237858.1	J7KHN4	J7KHN4_9CAUD	Uncharacterized protein		Erwinia phage phiEaH2	Caudovirales
YP_009290659.1	A0A1B2IA00	A0A1B2IA00_9CAUD	Uncharacterized protein	ASESINO_41	Erwinia phage vB_EamM_Asesino	Caudovirales
YP_009153318.1	G5DEB7	G5DEB7_9CAUD	Uncharacterized protein	SPN3US_0024	Salmonella phage SPN3US	Caudovirales
YP_007237856.1	J7KCG5	J7KCG5_9CAUD	Uncharacterized protein		Erwinia phage phiEaH2	Caudovirales
YP_009292107.1	A0A1B2IAM3	A0A1B2IAM3_9CAUD	Uncharacterized protein	CAITLIN_34	Erwinia phage vB_EamM_Caitlin	Caudovirales
YP_009292729.1	A0A1B2IBJ3	A0A1B2IBJ3_9CAUD	Uncharacterized protein	CHRISDB_40	Erwinia phage vB_EamM_ChrisDB	Caudovirales
YP_009278641.1	A0A1B2IDQ2	A0A1B2IDQ2_9CAUD	Uncharacterized protein	KWAN_36	Erwinia phage vB_EamM_Kwan	Caudovirales
YP_009293009.1	A0A1B2ICW9	A0A1B2ICW9_9CAUD	Uncharacterized protein	HUXLEY_41	Erwinia phage vB_EamM_Huxley	Caudovirales
YP_009278338.1	A0A1B2IC76	A0A1B2IC76_9CAUD	Uncharacterized protein	EARLPHILLIPIV_26	Erwinia phage vB_EamM_EarlPhillipIV	Caudovirales
YP_008125765.1	R4IFN4	R4IFN4_9CAUD	Uncharacterized protein	CR5_025	Cronobacter phage CR5	Caudovirales
YP_009290657.1	A0A1B2I9X5	A0A1B2I9X5_9CAUD	Uncharacterized protein	ASESINO_39	Erwinia phage vB_EamM_Asesino	Caudovirales
YP_007237854.1	J7KE73	J7KE73_9CAUD	Uncharacterized protein		Erwinia phage phiEaH2	Caudovirales
YP_009293007.1	A0A1B2ICY9	A0A1B2ICY9_9CAUD	Uncharacterized protein	HUXLEY_39	Erwinia phage vB_EamM_Huxley	Caudovirales
YP_009292727.1	A0A1B2IBF6	A0A1B2IBF6_9CAUD	Uncharacterized protein	CHRISDB_38	Erwinia phage vB_EamM_ChrisDB	Caudovirales
YP_009292105.1	A0A1B2IAM8	A0A1B2IAM8_9CAUD	Uncharacterized protein	CAITLIN_32	Erwinia phage vB_EamM_Caitlin	Caudovirales
YP_009278639.1	A0A1B2IDM7	A0A1B2IDM7_9CAUD	Uncharacterized protein	KWAN_34	Erwinia phage vB_EamM_Kwan	Caudovirales
YP_009283513.1	A0A1B2IG67	A0A1B2IG67_9CAUD	Uncharacterized protein	PHOBOS_24	Erwinia phage vB_EamM_Phobos	Caudovirales
YP_009290656.1	A0A1B2I9X6	A0A1B2I9X6_9CAUD	Uncharacterized protein	ASESINO_38	Erwinia phage vB_EamM_Asesino	Caudovirales
YP_007237853.1	J7KHN1	J7KHN1_9CAUD	Uncharacterized protein		Erwinia phage phiEaH2	Caudovirales
